Temperature,Soil_color,Crop,Nitrogen,Phosphorus,Potassium,Fertilizer
25,Black,Jowar,35,25,35,Urea
25,Black,Jowar,40,25,35,Urea
30,Black,Jowar,20,30,40,Urea
30,Black,Jowar,25,30,40,Urea
30,Black,Jowar,30,30,40,Urea
30,Black,Jowar,35,30,40,Urea
30,Black,Jowar,40,30,40,Urea
25,Black,Jowar,20,35,25,SSP
25,Black,Jowar,25,35,25,SSP
25,Black,Jowar,30,35,25,SSP
25,Black,Jowar,35,35,25,SSP
25,Black,Jowar,40,35,25,SSP
30,Black,Jowar,20,25,30,SSP
30,Black,Jowar,25,25,30,SSP
30,Black,Jowar,30,25,30,SSP
30,Black,Jowar,35,25,30,SSP
30,Black,Jowar,40,25,30,SSP
25,Black,Jowar,20,30,35,SSP
25,Black,Jowar,25,30,35,SSP
25,Black,Jowar,30,30,35,SSP
25,Black,Jowar,35,30,35,SSP
25,Black,Jowar,40,30,35,SSP
30,Black,Jowar,20,35,40,SSP
30,Black,Jowar,25,35,40,SSP
30,Black,Jowar,30,35,40,SSP
30,Black,Jowar,35,35,40,SSP
30,Black,Jowar,40,35,40,SSP
25,Black,Jowar,40,20,20,10:26:26 NPK
25,Black,Jowar,45,20,20,10:26:26 NPK
25,Black,Jowar,50,20,20,10:26:26 NPK
30,Black,Jowar,40,25,25,10:26:26 NPK
30,Black,Jowar,45,25,25,10:26:26 NPK
30,Black,Jowar,50,25,25,10:26:26 NPK
25,Black,Jowar,40,20,25,10:26:26 NPK
25,Black,Jowar,45,20,25,10:26:26 NPK
25,Black,Jowar,50,20,25,10:26:26 NPK
30,Black,Jowar,40,25,20,10:26:26 NPK
30,Black,Jowar,45,25,20,10:26:26 NPK
30,Black,Jowar,50,25,20,10:26:26 NPK
25,Red ,Cotton,100,40,50,DAP
25,Red ,Cotton,105,40,50,DAP
25,Red ,Cotton,110,40,50,DAP
25,Red ,Cotton,115,40,50,DAP
25,Red ,Cotton,120,40,50,DAP
25,Red ,Cotton,125,40,50,DAP
25,Red ,Cotton,130,40,50,DAP
25,Red ,Cotton,135,40,50,DAP
25,Red ,Cotton,140,40,50,DAP
25,Red ,Cotton,145,40,50,DAP
25,Red ,Cotton,150,40,50,DAP
30,Red ,Cotton,100,45,55,DAP
30,Red ,Cotton,105,45,55,DAP
30,Red ,Cotton,110,45,55,DAP
30,Red ,Cotton,115,45,55,DAP
30,Red ,Cotton,120,45,55,DAP
30,Red ,Cotton,125,45,55,DAP
30,Red ,Cotton,130,45,55,DAP
30,Red ,Cotton,135,45,55,DAP
30,Red ,Cotton,140,45,55,DAP
30,Red ,Cotton,145,45,55,DAP
30,Red ,Cotton,150,45,55,DAP
35,Red ,Cotton,100,50,60,DAP
35,Red ,Cotton,105,50,60,DAP
35,Red ,Cotton,110,50,60,DAP
35,Red ,Cotton,115,50,60,DAP
35,Red ,Cotton,120,50,60,DAP
35,Red ,Cotton,125,50,60,DAP
35,Red ,Cotton,130,50,60,DAP
35,Red ,Cotton,135,50,60,DAP
35,Red ,Cotton,140,50,60,DAP
35,Red ,Cotton,145,50,60,DAP
35,Red ,Cotton,150,50,60,DAP
25,Red ,Cotton,100,55,65,DAP
25,Red ,Cotton,105,55,65,DAP
25,Red ,Cotton,110,55,65,DAP
25,Red ,Cotton,115,55,65,DAP
25,Red ,Cotton,120,55,65,DAP
25,Red ,Cotton,125,55,65,DAP
25,Red ,Cotton,130,55,65,DAP
25,Red ,Cotton,135,55,65,DAP
25,Red ,Cotton,140,55,65,DAP
25,Red ,Cotton,145,55,65,DAP
25,Red ,Cotton,150,55,65,DAP
30,Red ,Cotton,100,60,70,DAP
30,Red ,Cotton,105,60,70,DAP
30,Red ,Cotton,110,60,70,DAP
30,Red ,Cotton,115,60,70,DAP
30,Red ,Cotton,120,60,70,DAP
30,Red ,Cotton,125,60,70,DAP
30,Red ,Cotton,130,60,70,DAP
30,Red ,Cotton,135,60,70,DAP
30,Red ,Cotton,140,60,70,DAP
30,Red ,Cotton,145,60,70,DAP
30,Red ,Cotton,150,60,70,DAP
35,Red ,Cotton,100,40,75,DAP
35,Red ,Cotton,105,40,75,DAP
35,Red ,Cotton,110,40,75,DAP
35,Red ,Cotton,115,40,75,DAP
35,Red ,Cotton,120,40,75,DAP
35,Red ,Cotton,125,40,75,DAP
35,Red ,Cotton,130,40,75,DAP
35,Red ,Cotton,135,40,75,DAP
35,Red ,Cotton,140,40,75,DAP
35,Red ,Cotton,145,40,75,DAP
35,Red ,Cotton,150,40,75,DAP
25,Red ,Cotton,100,45,50,Magnesium Sulphate
25,Red ,Cotton,105,45,50,Magnesium Sulphate
25,Red ,Cotton,110,45,50,Magnesium Sulphate
25,Red ,Cotton,115,45,50,Magnesium Sulphate
25,Red ,Cotton,120,45,50,Magnesium Sulphate
25,Red ,Cotton,125,45,50,Magnesium Sulphate
25,Red ,Cotton,130,45,50,Magnesium Sulphate
25,Red ,Cotton,135,45,50,Magnesium Sulphate
25,Red ,Cotton,140,45,50,Magnesium Sulphate
25,Red ,Cotton,145,45,50,Magnesium Sulphate
25,Red ,Cotton,150,45,50,Magnesium Sulphate
30,Red ,Cotton,100,50,55,Magnesium Sulphate
30,Red ,Cotton,105,50,55,Magnesium Sulphate
30,Red ,Cotton,110,50,55,Magnesium Sulphate
30,Red ,Cotton,115,50,55,Magnesium Sulphate
30,Red ,Cotton,120,50,55,Magnesium Sulphate
30,Red ,Cotton,125,50,55,Magnesium Sulphate
30,Red ,Cotton,130,50,55,Magnesium Sulphate
30,Red ,Cotton,135,50,55,Magnesium Sulphate
30,Red ,Cotton,140,50,55,Magnesium Sulphate
30,Red ,Cotton,145,50,55,Magnesium Sulphate
30,Red ,Cotton,150,50,55,Magnesium Sulphate
35,Red ,Cotton,100,55,60,Magnesium Sulphate
35,Red ,Cotton,105,55,60,Magnesium Sulphate
35,Red ,Cotton,110,55,60,Magnesium Sulphate
35,Red ,Cotton,115,55,60,Magnesium Sulphate
35,Red ,Cotton,120,55,60,Magnesium Sulphate
35,Red ,Cotton,125,55,60,Magnesium Sulphate
35,Red ,Cotton,130,55,60,Magnesium Sulphate
35,Red ,Cotton,135,55,60,Magnesium Sulphate
35,Red ,Cotton,140,55,60,Magnesium Sulphate
35,Red ,Cotton,145,55,60,Magnesium Sulphate
35,Red ,Cotton,150,55,60,Magnesium Sulphate
25,Red ,Cotton,100,60,65,Magnesium Sulphate
25,Red ,Cotton,105,60,65,Magnesium Sulphate
25,Red ,Cotton,110,60,65,Magnesium Sulphate
25,Red ,Cotton,115,60,65,Magnesium Sulphate
25,Red ,Cotton,120,60,65,Magnesium Sulphate
25,Red ,Cotton,125,60,65,Magnesium Sulphate
25,Red ,Cotton,130,60,65,Magnesium Sulphate
25,Red ,Cotton,135,60,65,Magnesium Sulphate
25,Red ,Cotton,140,60,65,Magnesium Sulphate
25,Red ,Cotton,145,60,65,Magnesium Sulphate
25,Red ,Cotton,150,60,65,Magnesium Sulphate
30,Red ,Cotton,100,40,70,Magnesium Sulphate
30,Red ,Cotton,105,40,70,Magnesium Sulphate
30,Red ,Cotton,110,40,70,Magnesium Sulphate
30,Red ,Cotton,115,40,70,Magnesium Sulphate
30,Red ,Cotton,120,40,70,Magnesium Sulphate
30,Red ,Cotton,125,40,70,Magnesium Sulphate
30,Red ,Cotton,130,40,70,Magnesium Sulphate
30,Red ,Cotton,135,40,70,Magnesium Sulphate
30,Red ,Cotton,140,40,70,Magnesium Sulphate
30,Red ,Cotton,145,40,70,Magnesium Sulphate
30,Red ,Cotton,150,40,70,Magnesium Sulphate
35,Red ,Cotton,100,45,75,Magnesium Sulphate
35,Red ,Cotton,105,45,75,Magnesium Sulphate
35,Red ,Cotton,110,45,75,Magnesium Sulphate
35,Red ,Cotton,115,45,75,Magnesium Sulphate
35,Red ,Cotton,120,45,75,Magnesium Sulphate
35,Red ,Cotton,125,45,75,Magnesium Sulphate
35,Red ,Cotton,130,45,75,Magnesium Sulphate
35,Red ,Cotton,135,45,75,Magnesium Sulphate
35,Red ,Cotton,140,45,75,Magnesium Sulphate
35,Red ,Cotton,145,45,75,Magnesium Sulphate
35,Red ,Cotton,150,45,75,Magnesium Sulphate
25,Red ,Cotton,100,50,50,13:32:26 NPK
25,Red ,Cotton,105,50,50,13:32:26 NPK
25,Red ,Cotton,110,50,50,13:32:26 NPK
25,Red ,Cotton,115,50,50,13:32:26 NPK
25,Red ,Cotton,120,50,50,13:32:26 NPK
25,Red ,Cotton,125,50,50,13:32:26 NPK
25,Red ,Cotton,130,50,50,13:32:26 NPK
25,Red ,Cotton,135,50,50,13:32:26 NPK
25,Red ,Cotton,140,50,50,13:32:26 NPK
25,Red ,Cotton,145,50,50,13:32:26 NPK
25,Red ,Cotton,150,50,50,13:32:26 NPK
30,Red ,Cotton,100,55,55,13:32:26 NPK
30,Red ,Cotton,105,55,55,13:32:26 NPK
30,Red ,Cotton,110,55,55,13:32:26 NPK
30,Red ,Cotton,115,55,55,13:32:26 NPK
30,Red ,Cotton,120,55,55,13:32:26 NPK
30,Red ,Cotton,125,55,55,13:32:26 NPK
30,Red ,Cotton,130,55,55,13:32:26 NPK
30,Red ,Cotton,135,55,55,13:32:26 NPK
30,Red ,Cotton,140,55,55,13:32:26 NPK
30,Red ,Cotton,145,55,55,13:32:26 NPK
30,Red ,Cotton,150,55,55,13:32:26 NPK
35,Red ,Cotton,100,60,60,13:32:26 NPK
35,Red ,Cotton,105,60,60,13:32:26 NPK
35,Red ,Cotton,110,60,60,13:32:26 NPK
35,Red ,Cotton,115,60,60,13:32:26 NPK
35,Red ,Cotton,120,60,60,13:32:26 NPK
35,Red ,Cotton,125,60,60,13:32:26 NPK
35,Red ,Cotton,130,60,60,13:32:26 NPK
35,Red ,Cotton,135,60,60,13:32:26 NPK
35,Red ,Cotton,140,60,60,13:32:26 NPK
35,Red ,Cotton,145,60,60,13:32:26 NPK
35,Red ,Cotton,150,60,60,13:32:26 NPK
25,Red ,Cotton,100,40,65,13:32:26 NPK
25,Red ,Cotton,105,40,65,13:32:26 NPK
25,Red ,Cotton,110,40,65,13:32:26 NPK
25,Red ,Cotton,115,40,65,13:32:26 NPK
25,Red ,Cotton,120,40,65,13:32:26 NPK
25,Red ,Cotton,125,40,65,13:32:26 NPK
25,Red ,Cotton,130,40,65,13:32:26 NPK
25,Red ,Cotton,135,40,65,13:32:26 NPK
25,Red ,Cotton,140,40,65,13:32:26 NPK
25,Red ,Cotton,145,40,65,13:32:26 NPK
25,Red ,Cotton,150,40,65,13:32:26 NPK
30,Red ,Cotton,100,45,70,13:32:26 NPK
30,Red ,Cotton,105,45,70,13:32:26 NPK
30,Red ,Cotton,110,45,70,13:32:26 NPK
30,Red ,Cotton,115,45,70,13:32:26 NPK
30,Red ,Cotton,120,45,70,13:32:26 NPK
30,Red ,Cotton,125,45,70,13:32:26 NPK
30,Red ,Cotton,130,45,70,13:32:26 NPK
30,Red ,Cotton,135,45,70,13:32:26 NPK
30,Red ,Cotton,140,45,70,13:32:26 NPK
30,Red ,Cotton,145,45,70,13:32:26 NPK
30,Red ,Cotton,150,45,70,13:32:26 NPK
35,Red ,Cotton,100,50,75,13:32:26 NPK
35,Red ,Cotton,105,50,75,13:32:26 NPK
35,Red ,Cotton,110,50,75,13:32:26 NPK
35,Red ,Cotton,115,50,75,13:32:26 NPK
35,Red ,Cotton,120,50,75,13:32:26 NPK
35,Red ,Cotton,125,50,75,13:32:26 NPK
35,Red ,Cotton,130,50,75,13:32:26 NPK
35,Red ,Cotton,135,50,75,13:32:26 NPK
35,Red ,Cotton,140,50,75,13:32:26 NPK
35,Red ,Cotton,145,50,75,13:32:26 NPK
35,Red ,Cotton,150,50,75,13:32:26 NPK
25,Red ,Cotton,100,55,50,DAP
25,Red ,Cotton,105,55,50,DAP
25,Red ,Cotton,110,55,50,DAP
25,Red ,Cotton,115,55,50,DAP
25,Red ,Cotton,120,55,50,DAP
25,Red ,Cotton,125,55,50,DAP
25,Red ,Cotton,130,55,50,DAP
25,Red ,Cotton,135,55,50,DAP
25,Red ,Cotton,140,55,50,DAP
25,Red ,Cotton,145,55,50,DAP
25,Red ,Cotton,150,55,50,DAP
30,Red ,Cotton,100,60,55,DAP
30,Red ,Cotton,105,60,55,DAP
30,Red ,Cotton,110,60,55,DAP
30,Red ,Cotton,115,60,55,DAP
30,Red ,Cotton,120,60,55,DAP
30,Red ,Cotton,125,60,55,DAP
30,Red ,Cotton,130,60,55,DAP
30,Red ,Cotton,135,60,55,DAP
30,Red ,Cotton,140,60,55,DAP
30,Red ,Cotton,145,60,55,DAP
30,Red ,Cotton,150,60,55,DAP
35,Red ,Cotton,100,40,60,DAP
35,Red ,Cotton,105,40,60,DAP
35,Red ,Cotton,110,40,60,DAP
35,Red ,Cotton,115,40,60,DAP
35,Red ,Cotton,120,40,60,DAP
35,Red ,Cotton,125,40,60,DAP
35,Red ,Cotton,130,40,60,DAP
35,Red ,Cotton,135,40,60,DAP
35,Red ,Cotton,140,40,60,DAP
35,Red ,Cotton,145,40,60,DAP
35,Red ,Cotton,150,40,60,DAP
25,Red ,Cotton,100,45,65,DAP
25,Red ,Cotton,105,45,65,DAP
25,Red ,Cotton,110,45,65,DAP
25,Red ,Cotton,115,45,65,DAP
25,Red ,Cotton,120,45,65,DAP
25,Red ,Cotton,125,45,65,DAP
25,Red ,Cotton,130,45,65,DAP
25,Red ,Cotton,135,45,65,DAP
25,Red ,Cotton,140,45,65,DAP
25,Red ,Cotton,145,45,65,DAP
25,Red ,Cotton,150,45,65,DAP
30,Red ,Cotton,100,50,70,DAP
30,Red ,Cotton,105,50,70,DAP
30,Red ,Cotton,110,50,70,DAP
30,Red ,Cotton,115,50,70,DAP
30,Red ,Cotton,120,50,70,DAP
30,Red ,Cotton,125,50,70,DAP
30,Red ,Cotton,130,50,70,DAP
30,Red ,Cotton,135,50,70,DAP
30,Red ,Cotton,140,50,70,DAP
30,Red ,Cotton,145,50,70,DAP
30,Red ,Cotton,150,50,70,DAP
35,Red ,Cotton,100,55,75,DAP
35,Red ,Cotton,105,55,75,DAP
35,Red ,Cotton,110,55,75,DAP
35,Red ,Cotton,115,55,75,DAP
35,Red ,Cotton,120,55,75,DAP
35,Red ,Cotton,125,55,75,DAP
35,Red ,Cotton,130,55,75,DAP
35,Red ,Cotton,135,55,75,DAP
35,Red ,Cotton,140,55,75,DAP
35,Red ,Cotton,145,55,75,DAP
35,Red ,Cotton,150,55,75,DAP
25,Red ,Cotton,100,60,50,Magnesium Sulphate
25,Red ,Cotton,105,60,50,Magnesium Sulphate
25,Red ,Cotton,110,60,50,Magnesium Sulphate
25,Red ,Cotton,115,60,50,Magnesium Sulphate
25,Red ,Cotton,120,60,50,Magnesium Sulphate
25,Red ,Cotton,125,60,50,Magnesium Sulphate
25,Red ,Cotton,130,60,50,Magnesium Sulphate
25,Red ,Cotton,135,60,50,Magnesium Sulphate
25,Red ,Cotton,140,60,50,Magnesium Sulphate
25,Red ,Cotton,145,60,50,Magnesium Sulphate
25,Red ,Cotton,150,60,50,Magnesium Sulphate
30,Red ,Cotton,100,40,55,Magnesium Sulphate
30,Red ,Cotton,105,40,55,Magnesium Sulphate
30,Red ,Cotton,110,40,55,Magnesium Sulphate
30,Red ,Cotton,115,40,55,Magnesium Sulphate
30,Red ,Cotton,120,40,55,Magnesium Sulphate
30,Red ,Cotton,125,40,55,Magnesium Sulphate
30,Red ,Cotton,130,40,55,Magnesium Sulphate
30,Red ,Cotton,135,40,55,Magnesium Sulphate
30,Red ,Cotton,140,40,55,Magnesium Sulphate
30,Red ,Cotton,145,40,55,Magnesium Sulphate
30,Red ,Cotton,150,40,55,Magnesium Sulphate
35,Red ,Cotton,100,45,60,Magnesium Sulphate
35,Red ,Cotton,105,45,60,Magnesium Sulphate
35,Red ,Cotton,110,45,60,Magnesium Sulphate
35,Red ,Cotton,115,45,60,Magnesium Sulphate
35,Red ,Cotton,120,45,60,Magnesium Sulphate
35,Red ,Cotton,125,45,60,Magnesium Sulphate
35,Red ,Cotton,130,45,60,Magnesium Sulphate
35,Red ,Cotton,135,45,60,Magnesium Sulphate
35,Red ,Cotton,140,45,60,Magnesium Sulphate
35,Red ,Cotton,145,45,60,Magnesium Sulphate
35,Red ,Cotton,150,45,60,Magnesium Sulphate
25,Red ,Cotton,100,50,65,Magnesium Sulphate
25,Red ,Cotton,105,50,65,Magnesium Sulphate
25,Red ,Cotton,110,50,65,Magnesium Sulphate
25,Red ,Cotton,115,50,65,Magnesium Sulphate
25,Red ,Cotton,120,50,65,Magnesium Sulphate
25,Red ,Cotton,125,50,65,Magnesium Sulphate
25,Red ,Cotton,130,50,65,Magnesium Sulphate
25,Red ,Cotton,135,50,65,Magnesium Sulphate
25,Red ,Cotton,140,50,65,Magnesium Sulphate
25,Red ,Cotton,145,50,65,Magnesium Sulphate
25,Red ,Cotton,150,50,65,Magnesium Sulphate
30,Red ,Cotton,100,55,70,Magnesium Sulphate
30,Red ,Cotton,105,55,70,Magnesium Sulphate
30,Red ,Cotton,110,55,70,Magnesium Sulphate
30,Red ,Cotton,115,55,70,Magnesium Sulphate
30,Red ,Cotton,120,55,70,Magnesium Sulphate
30,Red ,Cotton,125,55,70,Magnesium Sulphate
30,Red ,Cotton,130,55,70,Magnesium Sulphate
30,Red ,Cotton,135,55,70,Magnesium Sulphate
30,Red ,Cotton,140,55,70,Magnesium Sulphate
30,Red ,Cotton,145,55,70,Magnesium Sulphate
30,Red ,Cotton,150,55,70,Magnesium Sulphate
35,Red ,Cotton,100,60,75,Magnesium Sulphate
35,Red ,Cotton,105,60,75,Magnesium Sulphate
35,Red ,Cotton,110,60,75,Magnesium Sulphate
35,Red ,Cotton,115,60,75,Magnesium Sulphate
35,Red ,Cotton,120,60,75,Magnesium Sulphate
35,Red ,Cotton,125,60,75,Magnesium Sulphate
35,Red ,Cotton,130,60,75,Magnesium Sulphate
35,Red ,Cotton,135,60,75,Magnesium Sulphate
35,Red ,Cotton,140,60,75,Magnesium Sulphate
35,Red ,Cotton,145,60,75,Magnesium Sulphate
35,Red ,Cotton,150,60,75,Magnesium Sulphate
25,Red ,Cotton,100,60,40,12:32:16 NPK
25,Red ,Cotton,105,60,40,12:32:16 NPK
25,Red ,Cotton,110,60,40,12:32:16 NPK
25,Red ,Cotton,115,60,40,12:32:16 NPK
25,Red ,Cotton,120,60,40,12:32:16 NPK
30,Red ,Cotton,100,65,45,12:32:16 NPK
30,Red ,Cotton,105,65,45,12:32:16 NPK
30,Red ,Cotton,110,65,45,12:32:16 NPK
30,Red ,Cotton,115,65,45,12:32:16 NPK
30,Red ,Cotton,120,65,45,12:32:16 NPK
35,Red ,Cotton,100,70,50,12:32:16 NPK
35,Red ,Cotton,105,70,50,12:32:16 NPK
35,Red ,Cotton,110,70,50,12:32:16 NPK
35,Red ,Cotton,115,70,50,12:32:16 NPK
35,Red ,Cotton,120,70,50,12:32:16 NPK
25,Red ,Cotton,100,75,55,12:32:16 NPK
25,Red ,Cotton,105,75,55,12:32:16 NPK
25,Red ,Cotton,110,75,55,12:32:16 NPK
25,Red ,Cotton,115,75,55,12:32:16 NPK
25,Red ,Cotton,120,75,55,12:32:16 NPK
30,Red ,Cotton,100,80,60,12:32:16 NPK
30,Red ,Cotton,105,80,60,12:32:16 NPK
30,Red ,Cotton,110,80,60,12:32:16 NPK
30,Red ,Cotton,115,80,60,12:32:16 NPK
30,Red ,Cotton,120,80,60,12:32:16 NPK
35,Red ,Cotton,100,60,65,12:32:16 NPK
35,Red ,Cotton,105,60,65,12:32:16 NPK
35,Red ,Cotton,110,60,65,12:32:16 NPK
35,Red ,Cotton,115,60,65,12:32:16 NPK
35,Red ,Cotton,120,60,65,12:32:16 NPK
25,Red ,Cotton,100,65,40,12:32:16 NPK
25,Red ,Cotton,105,65,40,12:32:16 NPK
25,Red ,Cotton,110,65,40,12:32:16 NPK
25,Red ,Cotton,115,65,40,12:32:16 NPK
25,Red ,Cotton,120,65,40,12:32:16 NPK
30,Red ,Cotton,100,70,45,12:32:16 NPK
30,Red ,Cotton,105,70,45,12:32:16 NPK
30,Red ,Cotton,110,70,45,12:32:16 NPK
30,Red ,Cotton,115,70,45,12:32:16 NPK
30,Red ,Cotton,120,70,45,12:32:16 NPK
35,Red ,Cotton,100,75,50,12:32:16 NPK
35,Red ,Cotton,105,75,50,12:32:16 NPK
35,Red ,Cotton,110,75,50,12:32:16 NPK
35,Red ,Cotton,115,75,50,12:32:16 NPK
35,Red ,Cotton,120,75,50,12:32:16 NPK
25,Red ,Cotton,100,80,55,12:32:16 NPK
25,Red ,Cotton,105,80,55,12:32:16 NPK
25,Red ,Cotton,110,80,55,12:32:16 NPK
25,Red ,Cotton,115,80,55,12:32:16 NPK
25,Red ,Cotton,120,80,55,12:32:16 NPK
30,Red ,Cotton,100,60,60,12:32:16 NPK
30,Red ,Cotton,105,60,60,12:32:16 NPK
30,Red ,Cotton,110,60,60,12:32:16 NPK
30,Red ,Cotton,115,60,60,12:32:16 NPK
30,Red ,Cotton,120,60,60,12:32:16 NPK
35,Red ,Cotton,100,65,65,12:32:16 NPK
35,Red ,Cotton,105,65,65,12:32:16 NPK
35,Red ,Cotton,110,65,65,12:32:16 NPK
35,Red ,Cotton,115,65,65,12:32:16 NPK
35,Red ,Cotton,120,65,65,12:32:16 NPK
25,Red ,Cotton,100,70,40,12:32:16 NPK
25,Red ,Cotton,105,70,40,12:32:16 NPK
25,Red ,Cotton,110,70,40,12:32:16 NPK
25,Red ,Cotton,115,70,40,12:32:16 NPK
25,Red ,Cotton,120,70,40,12:32:16 NPK
30,Red ,Cotton,100,75,45,12:32:16 NPK
30,Red ,Cotton,105,75,45,DAP
30,Red ,Cotton,110,75,45,DAP
30,Red ,Cotton,115,75,45,DAP
30,Red ,Cotton,120,75,45,DAP
35,Red ,Cotton,100,80,50,DAP
35,Red ,Cotton,105,80,50,DAP
35,Red ,Cotton,110,80,50,DAP
35,Red ,Cotton,115,80,50,DAP
35,Red ,Cotton,120,80,50,DAP
25,Red ,Cotton,100,60,55,DAP
25,Red ,Cotton,105,60,55,DAP
25,Red ,Cotton,110,60,55,DAP
25,Red ,Cotton,115,60,55,DAP
25,Red ,Cotton,120,60,55,DAP
30,Red ,Cotton,100,65,60,DAP
30,Red ,Cotton,105,65,60,DAP
30,Red ,Cotton,110,65,60,DAP
30,Red ,Cotton,115,65,60,DAP
30,Red ,Cotton,120,65,60,DAP
35,Red ,Cotton,100,70,65,DAP
35,Red ,Cotton,105,70,65,DAP
35,Red ,Cotton,110,70,65,DAP
35,Red ,Cotton,115,70,65,DAP
35,Red ,Cotton,120,70,65,DAP
25,Red ,Cotton,100,75,40,DAP
25,Red ,Cotton,105,75,40,DAP
25,Red ,Cotton,110,75,40,DAP
25,Red ,Cotton,115,75,40,DAP
25,Red ,Cotton,120,75,40,DAP
30,Red ,Cotton,100,80,45,DAP
30,Red ,Cotton,105,80,45,DAP
